comment,The Stuyvesant Schedules,,,
period,fall-first-week,Period 7,12:08p,12:38p
period,fall-first-week,Period 8,12:42p,1:12p
period,fall-first-week,Period 9,1:16p,1:46p
period,fall-first-week,Period 10,1:50p,2:20p
period,fall-first-week,Prog. Corr./Assembly,2:25p,3:20p
period,fall-first-week,After School,3:20p,11:59:59p
,,,,
property,spring-first-day,button,Tues - Feb. 1,
property,spring-first-day,urlarg,1-Feb,
property,spring-first-day,description,Tues - Feb. 1,
period,spring-first-day,Before School,12:00a,8:30a
period,spring-first-day,Homeroom,8:30a,8:45a
period,spring-first-day,Period 1,8:49a,9:19a
period,spring-first-day,Period 2,9:23a,9:53a
period,spring-first-day,Period 3,9:57a,10:27a
period,spring-first-day,Period 4,10:31a,11:01a
period,spring-first-day,Period 5,11:05a,11:35a
period,spring-first-day,Period 6,11:39a,12:09p
period,spring-first-day,Period 7,12:13p,12:43p
period,spring-first-day,Period 8,12:47p,1:17p
period,spring-first-day,Period 9,1:21p,1:51p
period,spring-first-day,Period 10,1:55p,2:25p
period,spring-first-day,gap,2:25p,2:30p
period,spring-first-day,Freshmen assembly,2:30p,3:15p
period,spring-first-day,After School,3:15p,11:59p
,,,,
property,spring-first-week,button,Wed-Fri first week,
property,spring-first-week,urlarg,2-4-Feb,
property,spring-first-week,description,Wed-Fri first week,
period,spring-first-week,Before School,12:00a,8:30a
period,spring-first-week,Period 1,8:30a,9:02a
period,spring-first-week,Period 2,9:06a,9:38a
period,spring-first-week,Period 3,9:42a,10:14a
period,spring-first-week,Period 4,10:18a,10:50a
period,spring-first-week,Period 5,10:54a,11:26a
period,spring-first-week,Period 6,11:30a,12:02p
period,spring-first-week,Period 7,12:06p,12:38p
period,spring-first-week,Period 8,12:42p,1:14p
period,spring-first-week,Period 9,1:18p,1:50p
period,spring-first-week,Period 10,1:54p,2:26p
period,spring-first-week,gap,2:26p,2:30p
period,spring-first-week,Assembly,2:30p,3:15p
period,spring-first-week,After School,3:15p,11:59p
,,,,
property,amc,button,AMC - Wed Feb. 7,
property,amc,urlarg,amc,
property,amc,description,AMC - Feb. 7,
period,amc,Before School,12:00a,8:10a
period,amc,Period 1,8:10a,8:31a
period,amc,Period 2,8:35a,8:56a
period,amc,Period 3,9:00a,9:21a
period,amc,Homeroom,9:25a,9:35a
period,amc,Period 4,9:39a,10:00a
period,amc,Period 5,10:04a,10:25a
period,amc,Period 6,10:29a,10:50a
period,amc,Period 7,10:54a,11:15a
period,amc,Period 8,11:19a,11:40a
period,amc,Period 9,11:44a,12:05p
period,amc,Period 10,12:09a,12:30p
period,amc,gap,12:30p,1:10p
period,amc,AMC exam,1:10p,2:50p
period,amc,After School,2:50p,11:59p
,,,,
property,first-hm,button,Fri - Feb. 5,
property,first-hm,urlarg,first_hm,
property,first-hm,description,Fri - Feb. 5,
period,first-hm,Before School,12:00a,8:30a
period,first-hm,Period 1,8:30a,9:01a
period,first-hm,Period 2,9:05a,9:36a
period,first-hm,Period 3,9:40a,10:11a
period,first-hm,Homeroom,10:15a,10:25a
period,first-hm,Period 4,10:29a,11:00a
period,first-hm,Period 5,11:04a,11:35a
period,first-hm,Period 6,11:39a,12:10p
period,first-hm,Period 7 ,12:14p,12:45p
period,first-hm,Period 8,12:49p,1:20p
period,first-hm,Period 9,1:24p,1:55p
period,first-hm,Period 10,1:59p,2:30p
period,first-hm,Assembly,2:30p,3:15p
period,first-hm,After School,3:15p,11:59p
,,,,
property,spring-pt,button,Fri-PT,
